"","gene_id","gene_name"
"26","MSTRG.2","."
"102","MSTRG.2","WASH9P"
"167","MSTRG.26","MTND1P23"
"168","MSTRG.27","MTND2P28"
"169","MSTRG.27","."
"171","MSTRG.27","MTCO1P12"
"174","MSTRG.28","."
"178","MSTRG.27","MTATP6P1"
"339","MSTRG.45","NOC2L"
"341","MSTRG.45","."
"387","MSTRG.50","ISG15"
"392","MSTRG.53","."
"393","MSTRG.53","AGRN"
"453","MSTRG.60","."
"479","MSTRG.65","."
"494","MSTRG.65","MIR429"
"513","MSTRG.67","."
"527","MSTRG.67","SDF4"
"534","MSTRG.68","B3GALT6"
"543","MSTRG.69","."
"550","MSTRG.70","."
"551","MSTRG.70","UBE2J2"
"590","MSTRG.73","."
"594","MSTRG.73","ACAP3"
"614","MSTRG.74","PUSL1"
"623","MSTRG.75","INTS11"
"674","MSTRG.76","CPTP"
"676","MSTRG.77","TAS1R3"
"679","MSTRG.78","DVL1"
"682","MSTRG.78","."
"690","MSTRG.80","."
"693","MSTRG.80","MXRA8"
"702","MSTRG.81","AURKAIP1"
"710","MSTRG.83","."
"714","MSTRG.83","CCNL2"
"732","MSTRG.84","MRPL20-AS1"
"746","MSTRG.85","MRPL20"
"772","MSTRG.91","."
"773","MSTRG.91","VWA1"
"784","MSTRG.91","ATAD3C"
"815","MSTRG.91","ATAD3A"
"830","MSTRG.94","."
"831","MSTRG.94","SSU72"
"838","MSTRG.96","FNDC10"
"840","MSTRG.98","."
"841","MSTRG.99","MIB2"
"851","MSTRG.99","."
"890","MSTRG.101","CDK11B"
"891","MSTRG.101","."
"929","MSTRG.101","SLC35E2B"
"935","MSTRG.103","."
"938","MSTRG.104","."
"944","MSTRG.106","."
"946","MSTRG.105","MMP23A"
"949","MSTRG.101","CDK11A"
"1003","MSTRG.108","."
"1004","MSTRG.108","NADK"
"1026","MSTRG.109","."
"1029","MSTRG.109","GNB1"
"1113","MSTRG.117","."
"1117","MSTRG.117","PRKCZ"
"1158","MSTRG.121","FAAP20"
"1170","MSTRG.124","SKI"
"1171","MSTRG.124","."
"1203","MSTRG.130","."
"1204","MSTRG.130","RER1"
"1216","MSTRG.131","PEX10"
