"","feature","id","fc","pval","qval","logFC"
"1","gene","MSTRG.17366",0.0634399124198259,1.11022302462516e-16,1.29651844815726e-12,-3.97846541040323
"2","gene","MSTRG.1071",0.0627240251974956,2.22044604925031e-16,1.29651844815726e-12,-3.99483804508355
"3","gene","MSTRG.14900",0.0347903960651465,1.765254609154e-14,6.87154777523347e-11,-4.84516708661542
"4","gene","MSTRG.20121",0.360392470467612,2.69007038866675e-13,7.85366049971259e-10,-1.47235922505809
"5","gene","MSTRG.36016",0.45874772150776,1.20445875495534e-11,2.81313386807369e-08,-1.12422710244131
"6","gene","MSTRG.989",0.0357817528762339,3.29520855046894e-11,6.41357424206272e-08,-4.80463212592021
"7","gene","MSTRG.367",0.400729033360999,4.9735104923343e-11,6.84590552148102e-08,-1.31930105612305
"8","gene","MSTRG.15930",0.26272080848669,5.06401587330174e-11,6.84590552148102e-08,-1.92839762295916
"9","gene","MSTRG.4346",0.231060612323359,5.27600185762367e-11,6.84590552148102e-08,-2.11365674269222
"10","gene","MSTRG.1776",0.438342636880884,6.55950849193232e-11,7.66019401687856e-08,-1.1898690805812
"11","gene","MSTRG.1612",0.023800506964242,9.39943678446298e-11,8.75329470445125e-08,-5.39286388569494
"12","gene","MSTRG.38229",0.326685467728596,9.49030853902855e-11,8.75329470445125e-08,-1.61402581550838
"13","gene","MSTRG.8012",0.335328750577988,9.74420544253007e-11,8.75329470445125e-08,-1.57635191197012
"14","gene","MSTRG.16231",0.0449970779656989,1.2269318894198e-10,9.92985652314982e-08,-4.47402487147174
"15","gene","MSTRG.36330",0.127165524593371,1.30815358545533e-10,9.92985652314982e-08,-2.97522049533151
"16","gene","MSTRG.34193",0.394251522879891,1.36048727839011e-10,9.92985652314982e-08,-1.34281176714609
"17","gene","MSTRG.18595",0.413417904994851,1.97328930973129e-10,1.35553367994364e-07,-1.27432722211845
"18","gene","MSTRG.24942",0.444390332306542,2.3755464262365e-10,1.50037263679792e-07,-1.17010066359042
"19","gene","MSTRG.13294",6.49876355194353,2.52698306724142e-10,1.50037263679792e-07,2.70016525857767
"20","gene","MSTRG.28968",0.296500439108464,2.56957122246604e-10,1.50037263679792e-07,-1.75389385352541
"21","gene","MSTRG.15602",0.419410188681012,3.1093172481178e-10,1.7290765154057e-07,-1.25356618581093
"22","gene","MSTRG.17102",0.0568227095328594,3.38351346940158e-10,1.79603046798507e-07,-4.13738856316774
"23","gene","MSTRG.4508",0.285376657298833,3.63553853688359e-10,1.79995548114468e-07,-1.80906076209358
"24","gene","MSTRG.16686",6.34509669356498,3.699172079763e-10,1.79995548114468e-07,2.66564214960835
"25","gene","MSTRG.2374",2.51777017666599,4.42422543045495e-10,2.06664418307412e-07,1.33214659913457
"26","gene","MSTRG.13898",4.63458307842743,5.04189578975911e-10,2.10934392239697e-07,2.21243956156082
"27","gene","MSTRG.4966",0.319683610756926,5.16316545073892e-10,2.10934392239697e-07,-1.64528331162534
"28","gene","MSTRG.39932",0.264642024556979,5.39145394995444e-10,2.10934392239697e-07,-1.91788591835826
"29","gene","MSTRG.17287",0.22780627699567,5.41410249965679e-10,2.10934392239697e-07,-2.13412059513826
"30","gene","MSTRG.39937",0.3876326448131,5.5811200105893e-10,2.10934392239697e-07,-1.3672380212273
"31","gene","MSTRG.23807",0.322927085797932,5.59938873045951e-10,2.10934392239697e-07,-1.63071964152445
"32","gene","MSTRG.36905",0.0263702342974637,5.88014081870369e-10,2.14588389002568e-07,-5.24494580028301
"33","gene","MSTRG.28756",0.463392628721619,6.71659838857863e-10,2.37686169641883e-07,-1.10969299973803
"34","gene","MSTRG.6309",0.464010928408856,9.33753074860988e-10,3.09455195750601e-07,-1.1077693107078
"35","gene","MSTRG.9275",0.433845619651602,9.62879997956634e-10,3.09455195750601e-07,-1.2047463319078
"36","gene","MSTRG.6305",0.034446673550058,9.74115677010445e-10,3.09455195750601e-07,-4.85949151844299
"37","gene","MSTRG.27879",8.80817298809439,9.80462599997622e-10,3.09455195750601e-07,3.13884280298666
"38","gene","MSTRG.29686",0.199286460010709,1.06962660950671e-09,3.21212088988387e-07,-2.32708440146395
"39","gene","MSTRG.14450",0.287672673603482,1.07537134752533e-09,3.21212088988387e-07,-1.79749991075536
"40","gene","MSTRG.16413",0.282478362457462,1.1002297961582e-09,3.21212088988387e-07,-1.82378773203513
"41","gene","MSTRG.6481",0.283489205722056,1.16283938034201e-09,3.31210689844731e-07,-1.81863429145791
"42","gene","MSTRG.32557",0.325643493759331,1.25257215710661e-09,3.48274705968834e-07,-1.61863469245672
"43","gene","MSTRG.555",0.396379059267961,1.48006895628328e-09,3.75790556472744e-07,-1.33504734802461
"44","gene","MSTRG.990",0.0394994197112576,1.52999968250356e-09,3.75790556472744e-07,-4.66202473106322
"45","gene","MSTRG.6592",0.172100437543762,1.53605517194677e-09,3.75790556472744e-07,-2.53867732963351
"46","gene","MSTRG.38219",0.196030890383855,1.54962143117388e-09,3.75790556472744e-07,-2.3508470839544
"47","gene","MSTRG.5217",0.359418600783481,1.55315349470442e-09,3.75790556472744e-07,-1.47626302114335
"48","gene","MSTRG.17940",0.402470077492984,1.57171631265385e-09,3.75790556472744e-07,-1.31304656795127
"49","gene","MSTRG.9204",0.406379399452477,1.59591428960937e-09,3.75790556472744e-07,-1.29910082530938
"50","gene","MSTRG.34438",4.61524845874753,1.608967958866e-09,3.75790556472744e-07,2.20640831646353
"51","gene","MSTRG.12722",0.488239516619016,1.72190506297909e-09,3.94282496577839e-07,-1.03433902770131
"52","gene","MSTRG.15674",0.287695308685424,1.7958265985385e-09,4.03301211879472e-07,-1.79738639898033
"53","gene","MSTRG.12975",0.150939625242846,1.88497684128208e-09,4.15335085896078e-07,-2.72795649752625
"54","gene","MSTRG.28765",0.110486398739347,1.95952276627054e-09,4.22586515800496e-07,-3.17805931512623
"55","gene","MSTRG.13452",0.580720087296159,1.99026017888571e-09,4.22586515800496e-07,-0.784085156694294
"56","gene","MSTRG.14345",0.0299213819092534,2.06184003204157e-09,4.29967283824669e-07,-5.06267938261109
"57","gene","MSTRG.2864",0.52460552745704,2.2197377269606e-09,4.50753572141967e-07,-0.930695086383112
"58","gene","MSTRG.22654",0.152040732443193,2.23871443605361e-09,4.50753572141967e-07,-2.71747021449844
"59","gene","MSTRG.18713",0.471765143444497,2.46069142839644e-09,4.87050076284978e-07,-1.08385926646995
"60","gene","MSTRG.17799",0.164039629221964,2.54729104476326e-09,4.95787747012422e-07,-2.60788370702302
"61","gene","MSTRG.33331",0.268988520983234,2.65529731535707e-09,5.08337082766228e-07,-1.89438348743602
"62","gene","MSTRG.31325",0.0836830785679837,2.72038969129085e-09,5.12398561530557e-07,-3.57892026274693
"63","gene","MSTRG.14319",0.218434357707887,2.81100343002549e-09,5.21061873902186e-07,-2.1947282981703
"64","gene","MSTRG.26798",0.151386299018485,2.90779966771737e-09,5.27349384283637e-07,-2.7236934525262
"65","gene","MSTRG.26011",0.385792160076068,2.93523805261486e-09,5.27349384283637e-07,-1.37410426911129
"66","gene","MSTRG.3738",0.238377534343854,3.05596781213779e-09,5.33467647993206e-07,-2.06867981805516
"67","gene","MSTRG.37175",0.425762741169392,3.06065528477006e-09,5.33467647993206e-07,-1.23187839094513
"68","gene","MSTRG.24248",3.83227666569817,3.16732240435158e-09,5.43159041782351e-07,1.93820171812591
"69","gene","MSTRG.36907",0.0732953663426647,3.20928017494282e-09,5.43159041782351e-07,-3.77013419422276
"70","gene","MSTRG.28892",0.208245794902336,3.27950200329497e-09,5.47114634206837e-07,-2.26364073127636
"71","gene","MSTRG.28557",0.165735516281646,3.83800913272836e-09,6.31271417633828e-07,-2.59304529695767
"72","gene","MSTRG.39209",0.375494779151084,3.92912546942625e-09,6.34388181693908e-07,-1.41313524612306
"73","gene","MSTRG.24574",1.71409986298822,3.96560517756939e-09,6.34388181693908e-07,0.77745116291657
"74","gene","MSTRG.37753",0.175954326331107,4.08731382073313e-09,6.38633300651392e-07,-2.50672710765571
"75","gene","MSTRG.18314",2.05531526733102,4.10151546059723e-09,6.38633300651392e-07,1.0393597076439
"76","gene","MSTRG.32555",1.88623105927787,4.34064117982302e-09,6.66973785499648e-07,0.915506413900751
"77","gene","MSTRG.13403",0.519926948947911,4.42704239933533e-09,6.71415599213481e-07,-0.943619159699098
"78","gene","MSTRG.35389",0.183196286542117,4.72608374657568e-09,7.07579564006549e-07,-2.4485378351292
"79","gene","MSTRG.36837",0.224848319456463,4.79830863930886e-09,7.09299345441124e-07,-2.15297599371738
"80","gene","MSTRG.16541",0.308495658942825,4.87502560542197e-09,7.11631862751472e-07,-1.69667790653608
"81","gene","MSTRG.17974",0.473715767432237,4.97877672422931e-09,7.17804377599381e-07,-1.07790640266466
"82","gene","MSTRG.26855",0.179443957852383,5.09039255192079e-09,7.2494639294306e-07,-2.47839474862475
"83","gene","MSTRG.15008",1.85025831319543,5.19981346869258e-09,7.31607490209542e-07,0.887726698390742
"84","gene","MSTRG.15339",0.311932178553992,5.27174892628324e-09,7.32898618584948e-07,-1.68069570778712
"85","gene","MSTRG.26185",0.358818899584912,5.4216322542544e-09,7.3791142446046e-07,-1.47867221349492
"86","gene","MSTRG.32103",0.361361096887685,5.43418243736937e-09,7.3791142446046e-07,-1.46848689678737
"87","gene","MSTRG.35209",0.0524606204433569,5.60260682291869e-09,7.5203726986258e-07,-4.25262131954771
"88","gene","MSTRG.32098",0.199080902460024,5.79962311508808e-09,7.68216956754614e-07,-2.32857326281781
"89","gene","MSTRG.25972",3.42011462522091,5.85471049419084e-09,7.68216956754614e-07,1.77404467787917
"90","gene","MSTRG.36017",0.258404478243382,6.05605277037569e-09,7.85806491693858e-07,-1.95229702221026
