"","geneNames","feature","id","fc","pval","qval","logFC"
"1","OTOP2","gene","MSTRG.17366",0.0634399124198259,1.11022302462516e-16,1.29651844815726e-12,-3.97846541040323
"3","CA7","gene","MSTRG.14900",0.0347903960651465,1.765254609154e-14,6.87154777523347e-11,-4.84516708661542
"4","POLD1","gene","MSTRG.20121",0.360392470467612,2.69007038866675e-13,7.85366049971259e-10,-1.47235922505809
"6","GUCA2B","gene","MSTRG.989",0.0357817528762339,3.29520855046894e-11,6.41357424206272e-08,-4.80463212592021
"7","SLC25A34","gene","MSTRG.367",0.400729033360999,4.9735104923343e-11,6.84590552148102e-08,-1.31930105612305
"11","CLCA4","gene","MSTRG.1612",0.023800506964242,9.39943678446298e-11,8.75329470445125e-08,-5.39286388569494
"13","RERGL","gene","MSTRG.8012",0.335328750577988,9.74420544253007e-11,8.75329470445125e-08,-1.57635191197012
"16","NPY","gene","MSTRG.34193",0.394251522879891,1.36048727839011e-10,9.92985652314982e-08,-1.34281176714609
"17","GNG7","gene","MSTRG.18595",0.413417904994851,1.97328930973129e-10,1.35553367994364e-07,-1.27432722211845
"22","CA4","gene","MSTRG.17102",0.0568227095328594,3.38351346940158e-10,1.79603046798507e-07,-4.13738856316774
"23","ANK3","gene","MSTRG.4508",0.285376657298833,3.63553853688359e-10,1.79995548114468e-07,-1.80906076209358
"25","S100A11","gene","MSTRG.2374",2.51777017666599,4.42422543045495e-10,2.06664418307412e-07,1.33214659913457
"26","TNFRSF12A","gene","MSTRG.13898",4.63458307842743,5.04189578975911e-10,2.10934392239697e-07,2.21243956156082
"28","GDPD2","gene","MSTRG.39932",0.264642024556979,5.39145394995444e-10,2.10934392239697e-07,-1.91788591835826
"32","CA1","gene","MSTRG.36905",0.0263702342974637,5.88014081870369e-10,2.14588389002568e-07,-5.24494580028301
"33","ENAM","gene","MSTRG.28756",0.463392628721619,6.71659838857863e-10,2.37686169641883e-07,-1.10969299973803
"35","GLTP","gene","MSTRG.9275",0.433845619651602,9.62879997956634e-10,3.09455195750601e-07,-1.2047463319078
"37","CLDN1","gene","MSTRG.27879",8.80817298809439,9.80462599997622e-10,3.09455195750601e-07,3.13884280298666
"38","HPGD","gene","MSTRG.29686",0.199286460010709,1.06962660950671e-09,3.21212088988387e-07,-2.32708440146395
"41","NAALADL1","gene","MSTRG.6481",0.283489205722056,1.16283938034201e-09,3.31210689844731e-07,-1.81863429145791
"42","PI16","gene","MSTRG.32557",0.325643493759331,1.25257215710661e-09,3.48274705968834e-07,-1.61863469245672
