"","geneNames","feature","id","fc","pval","qval","logFC"
"25","S100A11","gene","MSTRG.2374",2.51777017666599,4.42422543045495e-10,2.06664418307412e-07,1.33214659913457
"26","TNFRSF12A","gene","MSTRG.13898",4.63458307842743,5.04189578975911e-10,2.10934392239697e-07,2.21243956156082
"37","CLDN1","gene","MSTRG.27879",8.80817298809439,9.80462599997622e-10,3.09455195750601e-07,3.13884280298666
"50","INHBA","gene","MSTRG.34438",4.61524845874753,1.608967958866e-09,3.75790556472744e-07,2.20640831646353
"75","PMAIP1","gene","MSTRG.18314",2.05531526733102,4.10151546059723e-09,6.38633300651392e-07,1.0393597076439
"89","SLC6A6","gene","MSTRG.25972",3.42011462522091,5.85471049419084e-09,7.68216956754614e-07,1.77404467787917
"98","TGFBI","gene","MSTRG.31065",3.53205351021038,7.7758175454079e-09,9.26591809135444e-07,1.82050719981831
"100","CTHRC1","gene","MSTRG.37136",5.57752665707083,8.05697086825319e-09,9.40893057994607e-07,2.47962550366117
"110","COL4A1","gene","MSTRG.10502",3.97644766910363,1.11309215178323e-08,1.18169910441133e-06,1.99148018487793
"112","PAUPAR","gene","MSTRG.6044",2.02023701436086,1.22224581566854e-08,1.27424659036168e-06,1.01452455999888
"113","CGREF1","gene","MSTRG.20793",3.26523413746488,1.23300106791291e-08,1.27424659036168e-06,1.70718644563033
"119","MTHFD1L","gene","MSTRG.33640",2.84658926623611,1.39900883100452e-08,1.37209119037326e-06,1.50923434193417
"120","KRT80","gene","MSTRG.8474",4.82412658617998,1.40992415520458e-08,1.37209119037326e-06,2.27026776438103
"136","CXCL8","gene","MSTRG.28787",6.98009294113372,2.08544838065094e-08,1.78234238370376e-06,2.80324624629453
"137","CDH3","gene","MSTRG.14988",5.12848949189804,2.09094799252796e-08,1.78234238370376e-06,2.35853396746202
"143","TTYH3","gene","MSTRG.33950",2.3539985525825,2.32260184418465e-08,1.896737366181e-06,1.2351134332979
"147","CEBPB","gene","MSTRG.24077",2.30119495933473,2.53295745489268e-08,2.01223654137665e-06,1.20238321517889
"156","FAP","gene","MSTRG.22352",3.43843222525918,2.79899317057186e-08,2.09529757986783e-06,1.78175090899389
"174","BHLHE40","gene","MSTRG.25848",2.62768696893623,4.37233635963707e-08,2.93410587347723e-06,1.39379342053777
"179","FCGR3A","gene","MSTRG.2672",3.59852206456052,4.57730823244518e-08,2.98624611946898e-06,1.84740450435346
"188","CTPS1","gene","MSTRG.969",2.33143225196807,5.27509762537903e-08,3.27673351431789e-06,1.22121650766633
"190","EPHX4","gene","MSTRG.1674",2.44693625047119,5.45175407040688e-08,3.34019903141155e-06,1.29097651566858
