Run,type
SRR975551,1
SRR975552,1
SRR975553,1
SRR975554,1
SRR975555,1
SRR975556,1
SRR975557,1
SRR975558,1
SRR975559,1
SRR975560,1
SRR975561,1
SRR975562,1
SRR975563,1
SRR975564,1
SRR975565,1
SRR975566,1
SRR975567,1
SRR975568,1
SRR975569,0
SRR975570,0
SRR975571,0
SRR975572,0
SRR975573,0
SRR975574,0
SRR975575,0
SRR975576,0
SRR975577,0
SRR975578,0
SRR975579,0
SRR975580,0
SRR975581,0
SRR975582,0
SRR975583,0
SRR975584,0
SRR975585,0
SRR975586,0
SRR975587,0
SRR975588,1
SRR975589,1
SRR975590,1
SRR975591,1
SRR975592,1
SRR975593,1
SRR975594,1
SRR975595,1
SRR975596,1
SRR975597,1
SRR975598,1
SRR975599,1
SRR975600,1
SRR975601,1
SRR975602,1
SRR975603,1
SRR975604,1
