"","geneNames","feature","id","fc","pval","qval","logFC"
"1","MMP7","gene","MSTRG.7100",10.1824493519779,2.9139149781976e-07,9.12297563415322e-06,3.34801273320787
"2","DPEP1","gene","MSTRG.15446",9.92039932730455,4.78110613366667e-06,6.27345589089431e-05,3.31039819479831
"3","CLDN1","gene","MSTRG.27879",8.80817298809439,9.80462599997622e-10,3.09455195750601e-07,3.13884280298666
"4","SPP1","gene","MSTRG.28964",8.80157999710429,1.05626016710936e-07,4.95106872117509e-06,3.13776252936119
"5","ALB","gene","MSTRG.28783",7.32867953903063,0.0087945705444672,0.023246490452306,2.87355328101902
"6","APOA2","gene","MSTRG.2654",7.30187690970056,0.00278243593159611,0.00908141051122955,2.8682673489616
"7","HP","gene","MSTRG.15093",6.99227217467365,0.00762968662718921,0.0206201065568886,2.80576134293485
"8","CXCL8","gene","MSTRG.28787",6.98009294113372,2.08544838065094e-08,1.78234238370376e-06,2.80324624629453
"9","THBS2","gene","MSTRG.33852",6.88981325194431,8.44592655813159e-08,4.36422700645401e-06,2.78446487928006
"10","H19","gene","MSTRG.5596",6.76293320923128,6.50145592575591e-05,0.000446086970040996,2.75764910576636
"11","FGA","gene","MSTRG.29526",6.45711682763091,0.00888537436975179,0.0234599597309431,2.69089012978295
"12","CYP2E1","gene","MSTRG.5475",6.41867286073186,0.0108673020520778,0.0276515028005904,2.68227503330295
"13","FGB","gene","MSTRG.29525",6.35521110041141,0.00843438157185505,0.0224468340920974,2.66794004788302
"14","FOXQ1","gene","MSTRG.31798",6.269270492119,2.09547438956292e-07,7.4606554638158e-06,2.64829757721661
"15","FGG","gene","MSTRG.29527",6.2416102497188,0.00889945382287705,0.0234812069009395,2.64191827261225
"16","AMBP","gene","MSTRG.38669",5.97481011110833,0.00672628659538665,0.018668213520107,2.57889286269747
"17","SEBOX","gene","MSTRG.16135",5.73902944074145,0.00887181076160326,0.0234347446446512,2.52080677532917
"18","CLDN2","gene","MSTRG.40218",5.72282123257181,1.08498503101906e-05,0.000113432902347722,2.51672654120275
"19","CRP","gene","MSTRG.2582",5.64206588809528,0.0102093644374719,0.0263044413286701,2.49622351382729
"20","CTHRC1","gene","MSTRG.37136",5.57752665707083,8.05697086825319e-09,9.40893057994607e-07,2.47962550366117
"21","AZGP1","gene","MSTRG.35018",5.50543724592777,1.49881619866399e-05,0.000143586345922872,2.46085714825489
"22","APOC3","gene","MSTRG.7283",5.45596168207108,0.00931110235243438,0.0243964669669573,2.44783351216264
