"","geneNames","feature","id","fc","pval","qval","logFC"
"1","MMP7","gene","MSTRG.7100",10.1824493519779,2.9139149781976e-07,9.12297563415322e-06,3.34801273320787
"2","DPEP1","gene","MSTRG.15446",9.92039932730455,4.78110613366667e-06,6.27345589089431e-05,3.31039819479831
"3","CLDN1","gene","MSTRG.27879",8.80817298809439,9.80462599997622e-10,3.09455195750601e-07,3.13884280298666
"4","SPP1","gene","MSTRG.28964",8.80157999710429,1.05626016710936e-07,4.95106872117509e-06,3.13776252936119
"5","ALB","gene","MSTRG.28783",7.32867953903063,0.0087945705444672,0.023246490452306,2.87355328101902
"6","APOA2","gene","MSTRG.2654",7.30187690970056,0.00278243593159611,0.00908141051122955,2.8682673489616
"7","HP","gene","MSTRG.15093",6.99227217467365,0.00762968662718921,0.0206201065568886,2.80576134293485
"8","CXCL8","gene","MSTRG.28787",6.98009294113372,2.08544838065094e-08,1.78234238370376e-06,2.80324624629453
"9","THBS2","gene","MSTRG.33852",6.88981325194431,8.44592655813159e-08,4.36422700645401e-06,2.78446487928006
"10","H19","gene","MSTRG.5596",6.76293320923128,6.50145592575591e-05,0.000446086970040996,2.75764910576636
